Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003948,0.003948,0.001412,2.3608,1.1841,0.003948
Accomack,0.004989,0.004989,0.001733,2.3558,1.2222,0.004989
Albemarle,0.003545,0.003545,0.001271,2.2831,1.2212,0.003545
Alleghany,0.004082,0.004082,0.001615,2.3077,1.0952,0.004082
Amelia,0.008263,0.008263,0.001674,2.4684,2.0,0.008263
Amherst,0.003655,0.003655,0.001329,2.348,1.1714,0.003655
Appomattox,0.010511,0.010511,0.002325,2.5112,1.8,0.010511
Arlington,0.005133,0.005133,0.001773,2.3558,1.2287,0.005133
Augusta,0.008959,0.008959,0.001906,2.4655,1.9067,0.008959
Bath,0.006691,0.006691,0.002894,2.3121,1.0,0.006691
Bedford,0.005292,0.005292,0.001595,2.3888,1.3889,0.005292
Bland,0.002989,0.002989,0.001274,2.3467,1.0,0.002989
Botetourt,0.005423,0.005423,0.001676,2.4126,1.3415,0.005423
Brunswick,0.003524,0.003524,0.001232,2.2578,1.2667,0.003524
Buchanan,0.002532,0.002532,0.000809,2.1509,1.4545,0.002532
Buckingham,0.001984,0.001984,0.000816,2.2433,1.0833,0.001984
Campbell,0.005989,0.005989,0.001913,2.4684,1.2683,0.005989
Caroline,0.006317,0.006317,0.001367,2.3107,2.0,0.006317
Carroll,0.008129,0.008129,0.002148,2.5226,1.5,0.008129
Charles City,0.003137,0.003137,0.001293,2.4267,1.0,0.003137
Charlotte,0.00234,0.00234,0.00101,2.3165,1.0,0.00234
Chesterfield,0.003556,0.003556,0.001301,2.3454,1.1654,0.003556
Clarke,0.00506,0.00506,0.0013,2.3793,1.6364,0.00506
Craig,0.006846,0.006846,0.001559,2.1956,2.0,0.006846
Culpeper,0.0039,0.0039,0.001445,2.3757,1.1364,0.0039
Cumberland,0.008522,0.008522,0.001712,2.4893,2.0,0.008522
Dickenson,0.004471,0.004471,0.001956,2.2863,1.0,0.004471
Dinwiddie,0.006434,0.006434,0.001682,2.3608,1.6207,0.006434
Essex,0.006571,0.006571,0.001643,2.3519,1.7,0.006571
Fairfax,0.004075,0.004075,0.001495,2.4037,1.1343,0.004075
Fauquier,0.004785,0.004785,0.001418,2.3957,1.4085,0.004785
Floyd,0.003866,0.003866,0.001587,2.4352,1.0,0.003866
Fluvanna,0.002787,0.002787,0.00121,2.3032,1.0,0.002787
Franklin,0.002402,0.002402,0.000999,2.4037,1.0,0.002402
Frederick,0.002885,0.002885,0.001232,2.3427,1.0,0.002885
Giles,0.008154,0.008154,0.002093,2.406,1.619,0.008154
Gloucester,0.002566,0.002566,0.001125,2.2814,1.0,0.002566
Goochland,0.003621,0.003621,0.001473,2.4576,1.0,0.003621
Grayson,0.00247,0.00247,0.001093,2.2596,1.0,0.00247
Greene,0.002856,0.002856,0.001211,2.3583,1.0,0.002856
Greensville,0.001388,0.001388,0.000618,2.247,1.0,0.001388
Halifax,0.002242,0.002242,0.001003,2.2357,1.0,0.002242
Hanover,0.005432,0.005432,0.00142,2.3911,1.6,0.005432
Henrico,0.003838,0.003838,0.001629,2.3558,1.0,0.003838
Henry,0.005492,0.005492,0.001978,2.5804,1.0761,0.005492
Highland,0.006736,0.006736,0.001826,2.4586,1.5,0.006736
Isle of Wight,0.006688,0.006688,0.001401,2.3864,2.0,0.006688
James City,0.00416,0.00416,0.001738,2.3208,1.0312,0.00416
King and Queen,0.002235,0.002235,0.000996,2.2433,1.0,0.002235
King George,0.003345,0.003345,0.001304,2.3387,1.0968,0.003345
King William,0.001673,0.001673,0.0007,2.3911,1.0,0.001673
Lancaster,0.005142,0.005142,0.001132,2.2716,2.0,0.005142
Lee,0.004141,0.004141,0.001409,2.2047,1.3333,0.004141
Loudoun,0.003332,0.003332,0.001403,2.3467,1.0122,0.003332
Louisa,0.002842,0.002842,0.001037,2.3793,1.1515,0.002842
Lunenburg,0.003182,0.003182,0.001394,2.2831,1.0,0.003182
Madison,0.0028,0.0028,0.001207,2.3208,1.0,0.0028
Mathews,0.000975,0.000975,0.000453,2.1539,1.0,0.000975
Mecklenburg,0.003555,0.003555,0.001537,2.3136,1.0,0.003555
Middlesex,0.002379,0.002379,0.000945,2.2376,1.125,0.002379
Montgomery,0.003993,0.003993,0.001177,2.3596,1.4375,0.003993
Nelson,0.001706,0.001706,0.000737,2.315,1.0,0.001706
New Kent,0.007124,0.007124,0.001862,2.3683,1.6154,0.007124
Northampton,0.002105,0.002105,0.000939,2.2414,1.0,0.002105
Northumberland,0.005982,0.005982,0.001488,2.3646,1.7,0.005982
Nottoway,0.004772,0.004772,0.002101,2.2716,1.0,0.004772
Orange,0.00663,0.00663,0.002213,2.3671,1.2656,0.00663
Page,0.004252,0.004252,0.001799,2.3633,1.0,0.004252
Patrick,0.007286,0.007286,0.002215,2.3374,1.4074,0.007286
Pittsylvania,0.004664,0.004664,0.001657,2.417,1.1647,0.004664
Powhatan,0.003298,0.003298,0.001012,2.3608,1.381,0.003298
Prince Edward,0.007397,0.007397,0.001842,2.3506,1.7083,0.007397
Prince George,0.004059,0.004059,0.001095,2.3506,1.5769,0.004059
Prince William,0.004123,0.004123,0.001505,2.398,1.1422,0.004123
Pulaski,0.007723,0.007723,0.001734,2.3805,1.871,0.007723
Rappahannock,0.001946,0.001946,0.000814,2.3899,1.0,0.001946
Richmond,0.005771,0.005771,0.001219,2.3671,2.0,0.005771
Roanoke,0.003444,0.003444,0.00138,2.4181,1.032,0.003444
Rockbridge,0.001129,0.001129,0.000487,2.3165,1.0,0.001129
Rockingham,0.002401,0.002401,0.000842,2.3062,1.2364,0.002401
Russell,0.004046,0.004046,0.00173,2.2863,1.0227,0.004046
Scott,0.005992,0.005992,0.002411,2.4362,1.02,0.005992
Shenandoah,0.003972,0.003972,0.001674,2.3732,1.0,0.003972
Smyth,0.006031,0.006031,0.002325,2.3305,1.1129,0.006031
Southampton,0.003725,0.003725,0.001021,2.3608,1.5455,0.003725
Spotsylvania,0.003017,0.003017,0.001079,2.336,1.1967,0.003017
Stafford,0.00622,0.00622,0.001799,2.3852,1.4497,0.00622
Surry,0.004196,0.004196,0.001713,2.2047,1.1111,0.004196
Sussex,0.004966,0.004966,0.001255,2.1315,1.8571,0.004966
Tazewell,0.002406,0.002406,0.000985,2.4414,1.0,0.002406
Warren,0.006957,0.006957,0.002465,2.4192,1.1667,0.006957
Washington,0.006519,0.006519,0.001991,2.4093,1.359,0.006519
Westmoreland,0.00326,0.00326,0.001388,2.3493,1.0,0.00326
Wise,0.003957,0.003957,0.001257,2.2578,1.3939,0.003957
Wythe,0.00441,0.00441,0.00136,2.3047,1.4074,0.00441
York,0.002867,0.002867,0.001069,2.3467,1.1429,0.002867
Alexandria,0.005794,0.005794,0.001901,2.3923,1.2743,0.005794
Bristol,0.004991,0.004991,0.001849,2.4289,1.1111,0.004991
Buena Vista,0.003654,0.003654,0.000926,2.3671,1.6667,0.003654
Charlottesville,0.004446,0.004446,0.000994,2.2357,2.0,0.004446
Chesapeake,0.00402,0.00402,0.001295,2.3583,1.3167,0.00402
Colonial Heights,0.003297,0.003297,0.001497,2.2024,1.0,0.003297
Covington,0.002511,0.002511,0.001083,2.3179,1.0,0.002511
Danville,0.005436,0.005436,0.001698,2.3888,1.34,0.005436
Emporia,0.003312,0.003312,0.001122,2.3608,1.25,0.003312
Fairfax City,0.002334,0.002334,0.000833,2.3608,1.1875,0.002334
Falls Church,0.001931,0.001931,0.000889,2.1707,1.0,0.001931
Franklin City,0.005272,0.005272,0.00113,2.3333,2.0,0.005272
Fredericksburg,0.002852,0.002852,0.00124,2.3002,1.0,0.002852
Galax,0.00977,0.00977,0.003151,2.2847,1.3571,0.00977
Hampton,0.004956,0.004956,0.001636,2.3658,1.2807,0.004956
Harrisonburg,0.00201,0.00201,0.000868,2.3165,1.0,0.00201
Hopewell,0.008405,0.008405,0.00182,2.3092,2.0,0.008405
Lexington,0.014569,0.014569,0.003089,2.3583,2.0,0.014569
Lynchburg,0.005184,0.005184,0.001582,2.3621,1.3871,0.005184
Manassas,Unknown,Unknown,0.001606,2.431,1.6667,0.006509
Manassas Park,Unknown,Unknown,0.00103,2.3608,1.0,0.002431
Martinsville,0.004075,0.004075,0.001434,2.6747,1.0625,0.004075
Newport News,0.003525,0.003525,0.001412,2.3781,1.05,0.003525
Norfolk,0.002662,0.002662,0.000968,2.3387,1.1759,0.002662
Norton,0.007379,0.007379,0.003266,2.2596,1.0,0.007379
Petersburg,0.005084,0.005084,0.00185,2.2176,1.2391,0.005084
Poquoson,0.005241,0.005241,0.001548,2.4445,1.3846,0.005241
Portsmouth,0.005264,0.005264,0.001515,2.3493,1.4792,0.005264
Radford,0.003833,0.003833,0.00148,2.3911,1.0833,0.003833
Richmond City,0.003899,0.003899,0.000829,2.3519,2.0,0.003899
Roanoke City,0.003221,0.003221,0.001271,2.4331,1.0417,0.003221
Salem,0.004109,0.004109,0.00166,2.3545,1.0513,0.004109
Staunton,0.001531,0.001531,0.000682,2.2451,1.0,0.001531
Suffolk,0.003791,0.003791,0.001162,2.3092,1.4133,0.003791
Virginia Beach,0.004714,0.004714,0.001351,2.3852,1.4627,0.004714
Waynesboro,0.002187,0.002187,0.000928,2.357,1.0,0.002187
Williamsburg,0.001061,0.001061,0.000334,2.3793,1.3333,0.001061
Winchester,0.004223,0.004223,0.001674,2.5226,1.0,0.004223
